Gemeente,Evolutie 2018 - 2019,Mediaanprijs 2018,Mediaanprijs 2019,Mediaanprijs 2020,Evolutie Juli 2020 - December 2019,publicatiekolom
Stoumont,-30,217.5,151.5,null,null,0
Tellin,-13,140,122.5,null,null,0
Temse,6,236,250,257.2,3,3
Tenneville,17,150,175,null,null,0
La Hulpe,3,379.5,390,395,1,1
Ternat,-3,310,300,286.5,-5,-5
Tervuren,1,423.5,426,429,1,1
Tessenderlo,1,257,260,255,-2,-2
Theux,6,189,200,240,20,20
Thimister-Clermont,-19,266,215,null,null,0
Thuin,3,172,177.5,183,3,3
Tielt,6,240,254.5,252.5,-1,-1
Tielt-Winge,15,266,305,305,0,0
Tienen,1,199,200,219,10,10
Tinlot,null,178,null,null,null,-50
Tintigny,11,175,195,null,null,0
Tongeren,8,167.5,181.25,185,2,2
Torhout,-1,256.5,255,272.5,7,7
Tremelo,10,299,327.5,350,7,7
Trois-Ponts,-18,122,100,null,null,0
Trooz,27,149,189,162,-14,-14
Tubize,4,225,235,255,9,9
Turnhout,11,220,245,219,-11,-11
Ukkel,5,499,522.5,612.5,17,17
Vaux-sur-Sûre,14,185,210,250,19,19
Verlaine,31,224,292.5,null,null,0
Verviers,2,157.5,160,175,9,9
Veurne,7,223.5,240,264,10,10
Vielsalm,5,165,174,155,-11,-11
Villers-la-Ville,14,240,272.5,277.5,2,2
Villers-le-Bouillet,-11,190,169.75,204.75,21,21
Vilvoorde,8,260,280,300,7,7
Viroinval,-7,88.5,82.5,118,43,43
Virton,3,165,170,140,-18,-18
Vleteren,-1,238.061,235,null,null,0
Flobecq,20,183,220,null,null,0
Voeren,-27,270,198,null,null,0
Vorselaar,0,275.5,275,null,null,0
Vorst,9,395,430,470,9,9
Vosselaar,-3,289.5,281,295,5,5
Vresse-sur-Semois,3,120,123.75,141.275,14,14
Waasmunster,-3,310,300,345,15,15
Wachtebeke,8,280,302.5,302.5,0,0
Walcourt,4,155,160.5,160,0,0
Walhain,16,290,337.5,300,-11,-11
Wanze,-6,190,179,188.5,5,5
Waregem,9,238.5,260,273,5,5
Wasseiges,-5,192,183,null,null,0
Waterloo,1,394.5,400,400,0,0
Watermaal-Bosvoorde,4,475,492.5,495,1,1
Wavre,3,300,310,330,6,6
Waimes,-13,237,206,212.5,3,3
Welkenraedt,3,195,200,206,3,3
Wellen,-11,224.662,199,235,18,18
Wellin,-11,189.5,169.095,null,null,0
Wemmel,5,330,347,417.5,20,20
Wervik,9,175,190,191.5,1,1
Westerlo,-2,259.5,254.5,243.5,-4,-4
Wetteren,11,225,250,234,-6,-6
Wevelgem,7,195,209.5,217,4,4
Wezembeek-Oppem,7,445,475,537.5,13,13
Visé,11,195,216.25,195.288,-10,-10
Wichelen,3,222.25,230,266,16,16
Wielsbeke,-1,249,246.25,279.25,13,13
Wijnegem,-2,317.5,309.75,318,3,3
Willebroek,7,225,240,250,4,4
Wingene,-8,305,280,253,-10,-10
Wommelgem,17,288.5,337.5,312.5,-7,-7
Wortegem-Petegem,10,295,325,255,-22,-22
Wuustwezel,1,308.75,312,330.5,6,6
Yvoir,20,175,210,230,10,10
Zandhoven,1,310,312.5,345.5,11,11
Zaventem,6,330.5,349.5,375,7,7
Zedelgem,7,280,300.003,280,-7,-7
Zele,5,215,225,240,7,7
Zelzate,7,195,209,220,5,5
Zemst,-2,310,305,310,2,2
Soignies,6,187,197.5,170,-14,-14
Zoersel,9,340,369.5,390,6,6
Zonhoven,14,230,262.5,320,22,22
Zonnebeke,7,210,225,237.25,5,5
Zottegem,7,225,240,250,4,4
Zoutleeuw,-1,190,187.5,170,-9,-9
Zuienkerke,16,315,365,null,null,0
Zulte,3,250,256.626,255,-1,-1
Zutendaal,-4,276,265,null,null,0
Zwalm,9,292.5,320,null,null,0
Zwevegem,-1,217.5,215,238,11,11
Zwijndrecht,7,239.25,255,254,0,0
